project_state,total_loans,undisbursed_loans,percent_undisbursed
DC,259,46,17.760617760617762
DE,262,44,16.793893129770993
WI,1272,209,16.430817610062892
AR,1076,176,16.356877323420075
LA,2862,454,15.86303284416492
NV,1874,296,15.795090715048026
TN,2448,385,15.727124183006536
IL,11079,1713,15.46168426753317
NY,3854,594,15.412558380902958
IN,1862,282,15.145005370569281
