zip_code,fully_vax_total
20906,50880
20878,47880
20874,42916
21234,41706
20904,39052
20854,37544
20850,37303
21122,37011
21117,36901
20902,35985
21043,35903
21228,35568
21224,33420
21042,33384
20852,32927
21061,31524
21044,31502
20774,31106
21222,30742
21215,29595
21093,29451
21740,29172
20772,28926
20910,28481
21045,28450
